sample	annotator	earth	mars	mercury	neptune	pluto	jupiter	saturn	uranus	venus
rwk_mkhz_10409-1.tsv	2							x	x	
rwk_mkhz_10423-1.tsv	2							x	x	
rwk_mkhz_10471-short.tsv	2							x	x	
rwk_mkhz_10498-1.tsv	2			x				x		
rwk_mkhz_10540-1.tsv	2						x		x	
rwk_mkhz_10554-1.tsv	2						x		x	
rwk_mkhz_10578-1.tsv	2			x					x	
rwk_mkhz_10713-1.tsv	2			x					x	
rwk_mkhz_10776-short.tsv	2		x						x	
rwk_mkhz_107-short.tsv	2	x					x			
rwk_mkhz_10834-1.tsv	2		x						x	
rwk_mkhz_10885-short.tsv	2		x						x	
rwk_mkhz_11021-1.tsv	2							x	x	
rwk_mkhz_11025-1.tsv	2							x	x	
rwk_mkhz_11030-1.tsv	2						x		x	
rwk_mkhz_11030-2.tsv	2			x					x	
rwk_mkhz_11031-1.tsv	2			x					x	
rwk_mkhz_11032-short.tsv	2			x					x	
rwk_mkhz_11034-1.tsv	2			x					x	
rwk_mkhz_11035-short.tsv	2							x	x	
rwk_mkhz_11036-1.tsv	2		x	x						
rwk_mkhz_11037-1.tsv	2							x	x	
rwk_mkhz_11037-2.tsv	2							x	x	
rwk_mkhz_11042-short.tsv	2							x	x	
rwk_mkhz_11060-1.tsv	2							x	x	
rwk_mkhz_11063-short.tsv	2			x					x	
rwk_mkhz_11069-short.tsv	2							x	x	
rwk_mkhz_11087-1.tsv	2							x	x	
