file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_digbib_3247-1.tsv	Wildermuth,_Ottilie_5__Der_alte_Frey.tg10_1.xml	1847	1840	digbib	5.Der alte Frey	Wildermuth, Ottilie	yes	Erzähltext	yes	601	no	first	chevron
rwk_digbib_930-1.tsv	Birlinger,_Anton_Abdankung.tg1682_1.xml	1862	1860	digbib	Abdankung	Birlinger, Anton	yes	Erzähltext	yes	1050	no	first	none
rwk_grenz_1108-1.tsv	grenzboten_341561_276755.txt_2.xml	1848	1840	grenz	Eine Predigt auf der Ferdinandsbrueke.	Undefined	no	Kommentar	no	599	no	first	undef
rwk_grenz_11760-1.tsv	grenzboten_341837_154164.txt_39.xml	1883	1880	grenz	Macchiavelli. 2.	Undefined	no	Reportage	no	636	no	first	undef
rwk_grenz_12190-1.tsv	grenzboten_341839_158199.txt_77.xml	1884	1880	grenz	Unser Reichskanzler.	Niemann, August	no	Kommentar	no	586	no	first	undef
rwk_grenz_1322-1.tsv	grenzboten_341563_278509.txt_14.xml	1849	1840	grenz	Preußische Briefe.	Undefined	no	Reisebericht/Brief	yes	621	no	first	undef
rwk_grenz_14802-1.tsv	grenzboten_341853_289767.txt_46.xml	1891	1890	grenz	Die freie Bühne und der Naturalismus	Roeber, Friedrich	no	Kommentar	no	581	no	first	none
rwk_grenz_15490-1.tsv	grenzboten_341857_215089.txt_79.xml	1893	1890	grenz	Anmerkungen zur Judenfrage	Undefined	no	Kommentar	no	651	no	first	undef
rwk_grenz_15834-1.tsv	grenzboten_341861_220325.txt_65.xml	1895	1890	grenz	Wiemansichverspricht	Undefined	no	Reportage	no	656	no	first	german none
rwk_grenz_1591-1.tsv	grenzboten_341563_279547.txt_86.xml	1849	1840	grenz	Wiener Zeitungen und Zeitungshelden.	Undefined	no	Rezension	yes	614	no	first	german
rwk_grenz_20079-1.tsv	grenzboten_341885_301253.txt_49.xml	1907	1900	grenz	Eine Ferienfahrt nach Brasilien	Kelch, Egon Dr.	no	Reisebericht/Brief	no	571	no	first	undef
rwk_grenz_20829-1.tsv	grenzboten_341889_312350.txt_43.xml	1909	1900	grenz	Auf Pürichim Porst: ein Bild aus der Lüneburger Heide	Löns, Hermann	no	Reisebericht/Brief	no	628	no	first	undef
rwk_grenz_21969-1.tsv	grenzboten_341893_319600.txt_94.xml	1911	1910	grenz	Briefe aus China	Grube, Wilhelm Professor Dr.	no	Reisebericht/Brief	no	579	no	first	german
rwk_grenz_21976-1.tsv	grenzboten_341895_320416.txt_12.xml	1912	1910	grenz	Fichte und die älteren Romantiker	Schmidt-Köln, W. Dr.	no	Reportage	no	608	no	first	german
rwk_grenz_22637-1.tsv	grenzboten_341897_326811.txt_12.xml	1913	1910	grenz	An der Wiege des Königreichs Rumänien: Berichte des preußischen Spezialgesandten Freiherrn von Richthofen an König Friedrich Wilhelm den Vierten	Undefined	no	Reisebericht/Brief	yes	622	no	first	undef
rwk_grenz_24-1.tsv	grenzboten_282160_266616.txt_30.xml	1842	1840	grenz	Erinnerungen und die Mittheilungen eines Landschaftsmalers	Koekkoek, B. C.	no	Reportage	no	650	no	first	german
rwk_grenz_3240-1.tsv	grenzboten_341580_100453.txt_49.xml	1855	1850	grenz	Schleswig-Holsteinische Briefe.	Undefined	no	Reisebericht/Brief	no	594	no	first	german
rwk_grenz_337-1.tsv	grenzboten_341546_341790.txt_8.xml	1844	1840	grenz	Der Schachtelmann	Cornelius	yes	Erzähltext	yes	598	no	first	dash
rwk_grenz_375-1.tsv	grenzboten_341548_269416.txt_42.xml	1845	1840	grenz	Münchner Skizzen	Marggraff, Hermann 	no	Rezension	no	618	no	first	german
rwk_grenz_4604-1.tsv	grenzboten_341590_186950.txt_69.xml	1859	1850	grenz	In Dschingiskhans Heimath.	Undefined	no	Reisebericht/Brief	yes	582	no	first	undef
rwk_grenz_5403-1.tsv	grenzboten_341795_114855.txt_19.xml	1862	1860	grenz	General Wilhelm von Willisen. Nach Auszügen aus den Tagebüchern desselben.	Undefined	no	Erzähltext	yes	569	no	first	undef
rwk_grenz_630-1.tsv	grenzboten_341550_183020.txt_51.xml	1846	1840	grenz	Buchhändler Krebshold,wie er als Beförderer der Humanität ein armer Teufel wird, und später als Beförderer der Charlatanerie sein Glück macht, nach seinen eigenen Mittheilungen erzählt	Weinholz, A.	no	Biographie	yes	605	no	first	german none
